movie,year,score,num
肖申克的救赎,1994,9.7,3045566
霸王别姬,1993,9.6,2250356
阿甘正传,1994,9.5,2268856
泰坦尼克号,1997,9.5,2308553
千与千寻,2001,9.4,2357449
这个杀手不太冷,1994,9.4,2393386
美丽人生,1997,9.5,1388041
星际穿越,2014,9.4,1976451
盗梦空间,2010,9.4,2170985
楚门的世界,1998,9.4,1831304
辛德勒的名单,1993,9.5,1174043
忠犬八公的故事,2009,9.4,1454571
海上钢琴师,1998,9.3,1754224
三傻大闹宝莱坞,2009,9.2,1945364
放牛班的春天,2004,9.3,1378355
机器人总动员,2008,9.3,1383636
疯狂动物城,2016,9.2,2064975
无间道,2002,9.3,1447275
控方证人,1957,9.6,623490
大话西游之大圣娶亲,1995,9.2,1603675
熔炉,2011,9.3,976085
教父,1972,9.3,1023491
触不可及,2011,9.3,1189219
当幸福来敲门,2006,9.2,1589033
寻梦环游记,2017,9.1,1794508
末代皇帝,1987,9.3,945413
龙猫,1988,9.2,1327743
怦然心动,2010,9.1,1922445
哈利·波特与魔法石,2001,9.2,1273269
活着,1994,9.3,898823
蝙蝠侠：黑暗骑士,2008,9.2,1117746
指环王3：王者无敌,2003,9.3,847618
我不是药神,2018,9.0,2206751
乱世佳人,1939,9.3,729757
飞屋环游记,2009,9.1,1396363
素媛,2013,9.3,724662
哈尔的移动城堡,2004,9.1,1159480
十二怒汉,1957,9.4,527607
让子弹飞,2010,9.0,1789880
何以为家,2018,9.1,1096972
海蒂和爷爷,2015,9.3,681786
猫鼠游戏,2002,9.1,1101173
摔跤吧！爸爸,2016,9.0,1639907
天空之城,1986,9.2,936110
鬼子来了,2000,9.3,662271
少年派的奇幻漂流,2012,9.1,1407851
钢琴家,2002,9.3,686923
指环王2：双塔奇兵,2002,9.2,796324
大话西游之月光宝盒,1995,9.0,1277530
闻香识女人,1992,9.1,942651
死亡诗社,1989,9.2,786852
绿皮书,2018,8.9,1746708
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,467319
罗马假日,1953,9.1,990241
黑客帝国,1999,9.1,881559
指环王1：护戒使者,2001,9.1,893634
天堂电影院,1988,9.2,704800
教父2,1974,9.3,587484
狮子王,1994,9.1,893301
辩护人,2013,9.2,620148
饮食男女,1994,9.2,660101
搏击俱乐部,1999,9.0,895873
本杰明·巴顿奇事,2008,9.0,1035532
美丽心灵,2001,9.1,806676
穿条纹睡衣的男孩,2008,9.2,599534
窃听风暴,2006,9.2,594431
情书,1995,8.9,1187092
两杆大烟枪,1998,9.1,628451
音乐之声,1965,9.1,636345
西西里的美丽传说,2000,8.9,1027099
看不见的客人,2016,8.8,1344683
哈利·波特与死亡圣器(下),2011,9.0,883340
阿凡达,2009,8.8,1485240
拯救大兵瑞恩,1998,9.1,679932
小鞋子,1997,9.2,433008
飞越疯人院,1975,9.1,571643
功夫,2004,8.8,1217279
沉默的羔羊,1991,8.9,943858
布达佩斯大饭店,2014,8.9,1001978
蝴蝶效应,2004,8.9,991055
禁闭岛,2010,8.9,1035409
哈利·波特与阿兹卡班的囚徒,2004,9.0,787831
致命魔术,2006,8.9,905359
心灵捕手,1997,9.0,761029
超脱,2011,9.0,655889
低俗小说,1994,8.9,886525
摩登时代,1936,9.3,320420
春光乍泄,1997,9.0,665980
喜剧之王,1999,8.8,1019437
海豚湾,2009,9.3,368389
致命ID,2003,8.9,876874
美国往事,1984,9.1,438166
杀人回忆,2003,8.9,766744
哈利·波特与密室,2002,8.9,815110
红辣椒,2006,9.1,509934
加勒比海盗,2003,8.8,905514
一一,2000,9.1,435277
七宗罪,1995,8.8,987181
狩猎,2012,9.1,422222
唐伯虎点秋香,1993,8.7,1140354
7号房的礼物,2013,8.9,585259
被嫌弃的松子的一生,2006,8.8,734518
蝙蝠侠：黑暗骑士崛起,2012,8.9,761845
甜蜜蜜,1996,8.9,606521
爱在黎明破晓前,1995,8.8,729737
第六感,1999,8.9,589292
超能陆战队,2014,8.8,1071123
请以你的名字呼唤我,2017,8.8,767100
重庆森林,1994,8.8,858917
入殓师,2008,8.9,702578
断背山,2005,8.8,737753
剪刀手爱德华,1990,8.7,1073563
幽灵公主,1997,8.9,555372
寄生虫,2019,8.8,1445942
爱在日落黄昏时,2004,8.9,598761
勇敢的心,1995,8.9,578310
菊次郎的夏天,1999,8.9,630194
借东西的小人阿莉埃蒂,2010,8.9,586741
未麻的部屋,1997,9.1,377668
消失的爱人,2014,8.7,1008550
无人知晓,2004,9.1,343533
时空恋旅人,2013,8.8,722800
阳光灿烂的日子,1994,8.8,646699
完美的世界,1993,9.1,334869
倩女幽魂,1987,8.8,772796
天使爱美丽,2001,8.7,982658
小森林 夏秋篇,2014,9.0,445764
哈利·波特与火焰杯,2005,8.8,711526
侧耳倾听,1995,8.9,490372
驯龙高手,2010,8.8,797103
茶馆,1982(中国大陆),9.6,171776
教父3,1990,9.0,398466
幸福终点站,2004,8.8,602079
怪兽电力公司,2001,8.8,715528
一个叫欧维的男人决定去死,2015,8.9,517816
新世界,2013,8.9,478044
玩具总动员3,2010,8.9,550108
傲慢与偏见,2005,8.7,851102
小森林 冬春篇,2015,9.0,396837
头脑特工队,2015,8.8,696850
被解救的姜戈,2012,8.8,644063
萤火之森,2011,8.8,570710
釜山行,2016,8.6,1263286
色，戒,2007,8.7,877282
神偷奶爸,2010,8.7,989991
九品芝麻官,1994,8.7,728597
哪吒闹海,1979,9.2,275449
告白,2010,8.8,700829
玛丽和马克思,2009,9.0,436186
喜宴,1993,9.0,391015
大鱼,2003,8.8,593810
模仿游戏,2014,8.8,681041
头号玩家,2018,8.6,1429218
花样年华,2000,8.8,651984
射雕英雄传之东成西就,1993,8.7,672720
七武士,1954,9.3,211308
我是山姆,2001,9.0,354953
血战钢锯岭,2016,8.7,814494
惊魂记,1960,9.0,321040
阳光姐妹淘,2011,8.8,609628
恐怖直播,2013,8.7,686713
你的名字。,2016,8.5,1490590
黑客帝国3：矩阵革命,2003,8.8,468176
三块广告牌,2017,8.7,863680
电锯惊魂,2004,8.7,567562
心迷宫,2014,8.8,563543
达拉斯买家俱乐部,2013,8.8,476090
疯狂原始人,2013,8.7,875187
谍影重重3,2007,8.8,439793
小丑,2019,8.7,1060292
背靠背，脸对脸,1994,9.5,152336
心灵奇旅,2020,8.7,1048072
上帝之城,2002,9.0,314302
英雄本色,1986,8.6,569469
风之谷,1984,8.9,372411
绿里奇迹,1999,8.9,355811
爱在午夜降临前,2013,8.9,431716
海街日记,2015,8.8,478659
纵横四海,1991,8.8,448054
卢旺达饭店,2004,8.9,346789
疯狂的石头,2006,8.6,868098
2001太空漫游,1968,8.9,358015
无间道2,2003,8.8,517232
雨中曲,1952,9.1,243748
记忆碎片,2000,8.7,632465
小偷家族,2018,8.7,850702
无敌破坏王,2012,8.7,572310
岁月神偷,2010,8.7,591501
忠犬八公物语,1987,9.2,205745
荒蛮故事,2014,8.8,466578
冰川时代,2002,8.6,646881
牯岭街少年杀人事件,1991,8.9,329292
恐怖游轮,2009,8.5,919287
爆裂鼓手,2014,8.7,622340
东京教父,2003,9.0,255469
魔女宅急便,1989,8.7,488986
大佛普拉斯,2017,8.7,503998
贫民窟的百万富翁,2008,8.6,773181
遗愿清单,2007,8.7,494104
东邪西毒,1994,8.6,601209
末路狂花,1991,8.9,291793
你看起来好像很好吃,2010,8.9,350485
可可西里,2004,8.9,320674
源代码,2011,8.5,873597
城市之光,1931,9.3,157606
疯狂的麦克斯4：狂暴之路,2015,8.7,575196
黑天鹅,2010,8.6,808967
海边的曼彻斯特,2016,8.6,590963
波西米亚狂想曲,2018,8.6,644119
真爱至上,2003,8.5,766208
雨人,1988,8.7,421366
青蛇,1993,8.6,553859
爱乐之城,2016,8.4,1004475
芙蓉镇,1987,9.3,159402
初恋这件小事,2010,8.5,1010258
终结者2：审判日,1991,8.8,358965
人工智能,2001,8.7,469917
虎口脱险,1966,8.9,273383
恋恋笔记本,2004,8.5,707033
高山下的花环,1984(中国大陆) / 1985,9.5,115203
新龙门客栈,1992,8.7,469790
无耻混蛋,2009,8.7,509554
花束般的恋爱,2021,8.6,705701
罗生门,1950,8.8,333356
崖上的波妞,2008,8.6,532087
千钧一发,1997,8.8,320943
哈利·波特与死亡圣器(上),2010,8.6,620725
彗星来的那一夜,2013,8.6,624783
白日梦想家,2013,8.6,553346
萤火虫之墓,1988,8.7,419511
黑客帝国2：重装上阵,2003,8.7,426635
奇迹男孩,2017,8.6,572964
火星救援,2015,8.5,775187
二十二,2015,8.7,301850
战争之王,2005,8.7,389052
血钻,2006,8.7,398849
哈利·波特与凤凰社,2007,8.5,616338
步履不停,2008,8.8,296829
大红灯笼高高挂,1991,8.8,314689
千年女优,2001,8.8,290597
房间,2015,8.8,382303
魂断蓝桥,1940,8.8,292752
谍影重重2,2004,8.7,371843
蜘蛛侠：平行宇宙,2018,8.6,707775
弱点,2009,8.7,331417
谍影重重,2002,8.6,452135
阿飞正传,1990,8.5,537663
朗读者,2008,8.6,469273
隐藏人物,2016,8.9,237411
再次出发之纽约遇见你,2013,8.6,446425
